台湾频道,#genre#
Oasis,http://000.hfr1107.top/tv/smt.php?id=Oasis
Siar,http://000.hfr1107.top/tv/smt.php?id=Siar
Citra,http://000.hfr1107.top/tv/smt.php?id=AAcitra
Citra backup,http://000.hfr1107.top/tv/smt.php?id=AAcitra1
Sensasi,http://000.hfr1107.top/tv/smt.php?id=Sensasi
Aura,http://000.hfr1107.top/tv/smt.php?id=Aura
Rania,http://000.hfr1107.top/tv/smt.php?id=Rania
KBS World,http://000.hfr1107.top/tv/smt.php?id=KBS
Boo,http://000.hfr1107.top/tv/smt.php?id=Boo
Awesome TV,http://000.hfr1107.top/tv/smt.php?id=Dsangat
Astro Sonypix,http://000.hfr1107.top/tv/smt.php?id=Asonypix
Sony HD,http://000.hfr1107.top/tv/smt.php?id=SetOne
TvN,http://000.hfr1107.top/tv/smt.php?id=TVN
AEC,http://000.hfr1107.top/tv/smt.php?id=AEC
Astro QJ,http://000.hfr1107.top/tv/smt.php?id=Quanjia
TVB Jade,http://000.hfr1107.top/tv/smt.php?id=Tvbjade
TVB Asia,http://000.hfr1107.top/tv/smt.php?id=Tvbasia
TVB Entertainment,http://000.hfr1107.top/tv/smt.php?id=Tvbentertainment
TVB Classic,http://000.hfr1107.top/tv/smt.php?id=Tvbclassic
AOD,http://000.hfr1107.top/tv/smt.php?id=Aodhd
Goshop,http://000.hfr1107.top/tv/smt.php?id=Goshop
Celestial Movies HD,http://000.hfr1107.top/tv/smt.php?id=Celestial
Astro LOL,http://000.hfr1107.top/tv/smt.php?id=Astro_lol
Astro Rusi,http://000.hfr1107.top/tv/smt.php?id=Rusi
WION,http://000.hfr1107.top/tv/smt.php?id=Wion
RTM Asean,http://000.hfr1107.top/tv/smt.php?id=Rtmasean

印尼频道,#genre#
TVRI National,http://000.hfr1107.top/tv/smt.php?id=TVRI
RCTI,http://000.hfr1107.top/tv/smt.php?id=Rcti
Kompass TV,http://000.hfr1107.top/tv/smt.php?id=Kompass
Berita Satu,http://000.hfr1107.top/tv/smt.php?id=BeritaSatu_eko
Indosiar HD,http://000.hfr1107.top/tv/smt.php?id=Indosiar
AnTV,http://000.hfr1107.top/tv/smt.php?id=Antv
MNC TV,http://000.hfr1107.top/tv/smt.php?id=Mnctv
Trans 7,http://000.hfr1107.top/tv/smt.php?id=Trans7_eko
Transtv,http://000.hfr1107.top/tv/smt.php?id=Transtv
JTV,http://000.hfr1107.top/tv/smt.php?id=JTV_eko
Metro TV,http://000.hfr1107.top/tv/smt.php?id=metrotv_eko
SCTV,http://000.hfr1107.top/tv/smt.php?id=SCTV
Tvone,http://000.hfr1107.top/tv/smt.php?id=Tvone
TVMU,http://000.hfr1107.top/tv/smt.php?id=TVMU_eko
GTV,http://000.hfr1107.top/tv/smt.php?id=Gtv
RTV,http://000.hfr1107.top/tv/smt.php?id=Rtv
Jak TV,http://000.hfr1107.top/tv/smt.php?id=JakTV
iNews TV,http://000.hfr1107.top/tv/smt.php?id=Inewstv
Daai TV,http://000.hfr1107.top/tv/smt.php?id=DaaiTV
Net TV,http://000.hfr1107.top/tv/smt.php?id=NetTV
EWTN,http://000.hfr1107.top/tv/smt.php?id=Ewtn
AlQuran AlKareem,http://000.hfr1107.top/tv/smt.php?id=AlQuran
Tawaf TV,http://000.hfr1107.top/tv/smt.php?id=TawafTV
Vision Prime,http://000.hfr1107.top/tv/smt.php?id=VisionPrime
Muslim TV,http://000.hfr1107.top/tv/smt.php?id=MuslimTV
Music TV,http://000.hfr1107.top/tv/smt.php?id=MusicTV
Lifestyle&amp;Fashion,http://000.hfr1107.top/tv/smt.php?id=Lifestyle
Entertain,http://000.hfr1107.top/tv/smt.php?id=Entertain

印度频道,#genre#
Sun TV HD,http://000.hfr1107.top/tv/smt.php?id=Suntv
Star Vijay,http://000.hfr1107.top/tv/smt.php?id=Starvijay
Colors Tamil,http://000.hfr1107.top/tv/smt.php?id=Colorstam
Sun Music,http://000.hfr1107.top/tv/smt.php?id=Sunmusic
Astro Sunlife,http://000.hfr1107.top/tv/smt.php?id=Sunlife
Astro Vaanavil,http://000.hfr1107.top/tv/smt.php?id=Vaanavil
Zee Tamil,http://000.hfr1107.top/tv/smt.php?id=Zeetamil
Zee Business,http://000.hfr1107.top/tv/smt.php?id=Zeebusiness
News 18 Tamil,http://000.hfr1107.top/tv/smt.php?id=news18tamil_raj
Adithya,http://000.hfr1107.top/tv/smt.php?id=Adithya
Makkal TV,http://000.hfr1107.top/tv/smt.php?id=Makkaltv
Zee Action,http://000.hfr1107.top/tv/smt.php?id=Zeeaction
Astro KTV,http://000.hfr1107.top/tv/smt.php?id=Astroktv
Zee TV HD,http://000.hfr1107.top/tv/smt.php?id=Zeetvhd
Zee Cinema HD,http://000.hfr1107.top/tv/smt.php?id=Zeecinemahd
Color HD,http://000.hfr1107.top/tv/smt.php?id=Colorhd
Starplus HD,http://000.hfr1107.top/tv/smt.php?id=Starplushd
Picture HD,http://000.hfr1107.top/tv/smt.php?id=Npicture
Zee News,http://000.hfr1107.top/tv/smt.php?id=Zeenews
Asianet,http://000.hfr1107.top/tv/smt.php?id=asianet_raj
Asianet News,http://000.hfr1107.top/tv/smt.php?id=asianetnews_raj
Discovery World Tamil,http://000.hfr1107.top/tv/smt.php?id=discoveryworldtam_raj
History Tamil,http://000.hfr1107.top/tv/smt.php?id=historytam_raj
NatGeo Tamil,http://000.hfr1107.top/tv/smt.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://000.hfr1107.top/tv/smt.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://000.hfr1107.top/tv/smt.php?id=discoverykidtamil_raj
Discovery Tamil,http://000.hfr1107.top/tv/smt.php?id=discoverytamil_raj
Sony Yay Tamil,http://000.hfr1107.top/tv/smt.php?id=sonyyaytam_raj
Sun TV India,http://000.hfr1107.top/tv/smt.php?id=suntv_raj
Starmaa HD,http://000.hfr1107.top/tv/smt.php?id=starmaa_raj
Starmaa Movies HD,http://000.hfr1107.top/tv/smt.php?id=starmaamovies_raj
Bollyone,http://000.hfr1107.top/tv/smt.php?id=Bollyone
Vijay Super,http://000.hfr1107.top/tv/smt.php?id=vijaysuper_raj
Vellithirai,http://000.hfr1107.top/tv/smt.php?id=Vellithirai

泰国频道,#genre#
Channel 3 Thailand,http://000.hfr1107.top/tv/smt.php?id=ch3_pat
Channel 5 Thailand,http://000.hfr1107.top/tv/smt.php?id=ch5_pat
Channel 7 Thailand,http://000.hfr1107.top/tv/smt.php?id=ch7_pat
MCOT HD Thailand-1,http://000.hfr1107.top/tv/smt.php?id=mcot_pat
PPTV Thailand1,http://000.hfr1107.top/tv/smt.php?id=pptv_pat
Thai Thai,http://000.hfr1107.top/tv/smt.php?id=thaithai_pat
Amarin,http://000.hfr1107.top/tv/smt.php?id=amarin_pat
Ch 8,http://000.hfr1107.top/tv/smt.php?id=ch8_pat
GmmOne,http://000.hfr1107.top/tv/smt.php?id=gmmone_pat
Mono,http://000.hfr1107.top/tv/smt.php?id=mono_pat
