更新时间,#genre#
CCTV文化精品,http://118.78.196.46:55555/rtp/226.0.2.219:9664
CCTV文化精品,http://175.8.129.208:4000/udp/239.76.254.56:9000
CCTV文化精品,http://58.46.69.155:8188/udp/239.76.254.56:9000
CCTV文化精品,http://171.119.207.220:6000/rtp/226.0.2.219:9664
CCTV文化精品,http://113.104.185.171:7088/udp/239.253.43.13:5146
CCTV文化精品,http://58.46.210.223:4022/udp/239.76.254.56:9000
CCTV文化精品,http://59.35.185.47:8188/udp/239.253.43.13:5146
CCTV第一剧场,http://61.140.125.229:10022/udp/239.253.43.15:5146
CCTV第一剧场,http://116.23.98.153:7188/udp/239.253.43.15:5146
CCTV第一剧场,http://117.12.150.180:4022/rtp/225.1.2.175:5002
CCTV第一剧场,http://183.164.63.167:5000/rtp/238.1.79.63:4640
CCTV第一剧场,http://121.29.169.117:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.89:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://171.119.205.171:6000/rtp/226.0.2.221:9680
CCTV第一剧场,http://220.169.100.41:10087/udp/239.76.254.49:9000
CCTV第一剧场,http://58.46.69.155:8188/udp/239.76.254.49:9000
CCTV第一剧场,http://121.29.169.205:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.89:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://122.189.103.140:8010/rtp/228.0.0.235:6108
CCTV第一剧场,http://171.119.207.220:6000/rtp/226.0.2.221:9680
CCTV第一剧场,http://121.29.169.117:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://171.119.205.58:6000/rtp/226.0.2.221:9680
CCTV第一剧场,http://27.184.65.110:58888/rtp/239.254.201.218:7258
CCTV第一剧场,http://121.29.215.236:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.215.236:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://119.98.133.143:8088/rtp/239.69.1.74:10084
CCTV第一剧场,http://61.159.135.101:4022/rtp/238.255.2.25:5999
CCTV第一剧场,http://119.98.98.208:4022/rtp/239.69.1.74:10084
CCTV第一剧场,http://111.226.232.182:10010/rtp/239.254.201.218:7258
CCTV第一剧场,http://114.107.45.71:8188/rtp/238.1.79.63:4640
CCTV第一剧场,http://219.141.45.102:8188/rtp/238.255.2.25:5999
